Título,Ano,Duração,Gênero,Nota IMDb
Homem-Aranha: Através do Aranhaverso,(2023),140 min,"Animation, Action, Adventure",9.1
Batman: O Cavaleiro das Trevas,(2008),152 min,"Action, Crime, Drama",9.0
O Senhor dos Anéis: O Retorno do Rei,(2003),201 min,"Action, Adventure, Drama",9.0
A Origem,(2010),148 min,"Action, Adventure, Sci-Fi",8.8
O Senhor dos Anéis: A Sociedade do Anel,(2001),178 min,"Action, Adventure, Drama",8.8
O Senhor dos Anéis: As Duas Torres,(2002),179 min,"Action, Adventure, Drama",8.8
Matrix,(1999),136 min,"Action, Sci-Fi",8.7
Star Wars: Episódio V - O Império Contra-Ataca,(1980),124 min,"Action, Adventure, Fantasy",8.7
Soorarai Pottru,(2020),153 min,"Action, Drama",8.7
Star Wars: Episódio IV - Uma Nova Esperança,(1977),121 min,"Action, Adventure, Fantasy",8.6
O Exterminador do Futuro 2: O Julgamento Final,(1991),137 min,"Action, Sci-Fi",8.6
Os Sete Samurais,(1954),207 min,"Action, Drama",8.6
Harakiri,(1962),133 min,"Action, Drama, Mystery",8.6
Sita Ramam,(2022),163 min,"Action, Drama, Mystery",8.6
O Profissional,(1994),110 min,"Action, Crime, Drama",8.5
Gladiador,(2000),155 min,"Action, Adventure, Drama",8.5
Homem-Aranha: No Aranhaverso,(2018),117 min,"Animation, Action, Adventure",8.4
Os Caçadores da Arca Perdida,(1981),115 min,"Action, Adventure",8.4
Vingadores: Ultimato,(2019),181 min,"Action, Adventure, Drama",8.4
Vingadores: Guerra Infinita,(2018),149 min,"Action, Adventure, Sci-Fi",8.4
Oldboy,(2003),120 min,"Action, Drama, Mystery",8.4
Batman: O Cavaleiro das Trevas Ressurge,(2012),164 min,"Action, Drama, Thriller",8.4
"Aliens, O Resgate",(1986),137 min,"Action, Adventure, Sci-Fi",8.4
Kaithi,(2019),145 min,"Action, Adventure, Crime",8.4
Asuran,(2019),141 min,"Action, Drama",8.4
Top Gun: Maverick,(2022),130 min,"Action, Drama",8.3
Fogo Contra Fogo,(1995),170 min,"Action, Crime, Drama",8.3
Intriga Internacional,(1959),136 min,"Action, Adventure, Mystery",8.3
"Star Wars, Episódio VI: O Retorno do Jedi",(1983),131 min,"Action, Adventure, Fantasy",8.3
Princesa Mononoke,(1997),134 min,"Animation, Action, Adventure",8.3
Kantara,(2022),148 min,"Action, Adventure, Drama",8.3
Dangal,(2016),161 min,"Action, Biography, Drama",8.3
Ratsasan,(2018),170 min,"Action, Crime, Drama",8.3
K.G.F: Chapter 2,(2022),168 min,"Action, Crime, Drama",8.3
Vikram,(2022),175 min,"Action, Crime, Thriller",8.3
Shershaah,(2021),135 min,"Action, Biography, Drama",8.3
Guardiões da Galáxia Vol. 3,(2023),150 min,"Action, Adventure, Comedy",8.2
Homem-Aranha: Sem Volta para Casa,(2021),148 min,"Action, Adventure, Fantasy",8.2
Jurassic Park,(1993),127 min,"Action, Adventure, Sci-Fi",8.2
Indiana Jones e a Última Cruzada,(1989),127 min,"Action, Adventure",8.2
1917,(2019),119 min,"Action, Drama, War",8.2
Batman Begins,(2005),140 min,"Action, Crime, Drama",8.2
Kill Bill: Volume 1,(2003),111 min,"Action, Crime, Drama",8.2
Duro de Matar,(1988),132 min,"Action, Thriller",8.2
V de Vingança,(2005),132 min,"Action, Drama, Sci-Fi",8.2
Demon Slayer: Mugen Train - O Filme,(2020),117 min,"Animation, Action, Adventure",8.2
Ran,(1985),162 min,"Action, Drama, War",8.2
Gangues de Wasseypur,(2012),321 min,"Action, Comedy, Crime",8.2
Vikram Vedha,(2017),147 min,"Action, Crime, Drama",8.2
"Yojimbo, o Guarda-Costas",(1961),110 min,"Action, Drama, Thriller",8.2
Homem-Aranha: Através do Aranhaverso,(2023),140 min,"Animation, Action, Adventure",9.1
O Senhor dos Anéis: O Retorno do Rei,(2003),201 min,"Action, Adventure, Drama",9.0
A Origem,(2010),148 min,"Action, Adventure, Sci-Fi",8.8
O Senhor dos Anéis: A Sociedade do Anel,(2001),178 min,"Action, Adventure, Drama",8.8
Três Homens em Conflito,(1966),161 min,"Adventure, Western",8.8
O Senhor dos Anéis: As Duas Torres,(2002),179 min,"Action, Adventure, Drama",8.8
777 Charlie,(2022),164 min,"Adventure, Comedy, Drama",8.8
Interestelar,(2014),169 min,"Adventure, Drama, Sci-Fi",8.7
Star Wars: Episódio V - O Império Contra-Ataca,(1980),124 min,"Action, Adventure, Fantasy",8.7
Star Wars: Episódio IV - Uma Nova Esperança,(1977),121 min,"Action, Adventure, Fantasy",8.6
A Viagem de Chihiro,(2001),125 min,"Animation, Adventure, Family",8.6
De Volta para o Futuro,(1985),116 min,"Adventure, Comedy, Sci-Fi",8.5
Gladiador,(2000),155 min,"Action, Adventure, Drama",8.5
O Rei Leão,(1994),88 min,"Animation, Adventure, Drama",8.5
Homem-Aranha: No Aranhaverso,(2018),117 min,"Animation, Action, Adventure",8.4
Os Caçadores da Arca Perdida,(1981),115 min,"Action, Adventure",8.4
Vingadores: Ultimato,(2019),181 min,"Action, Adventure, Drama",8.4
Vingadores: Guerra Infinita,(2018),149 min,"Action, Adventure, Sci-Fi",8.4
"Aliens, O Resgate",(1986),137 min,"Action, Adventure, Sci-Fi",8.4
Viva: A Vida é uma Festa,(I) (2017),105 min,"Animation, Adventure, Comedy",8.4
WALL·E,(2008),98 min,"Animation, Adventure, Family",8.4
Kaithi,(2019),145 min,"Action, Adventure, Crime",8.4
Bastardos Inglórios,(2009),153 min,"Adventure, Drama, War",8.3
Intriga Internacional,(1959),136 min,"Action, Adventure, Mystery",8.3
